study.spectra,nm,Absorption
Halldal,398.52,0.66
Halldal,404.45,0.69
Halldal,411.86,0.72
Halldal,413.34,0.76
Halldal,420.76,0.79
Halldal,426.69,0.83
Halldal,432.62,0.87
Halldal,435.58,0.91
Halldal,438.55,0.94
Halldal,441.52,0.97
Halldal,447.45,1
Halldal,459.31,1
Halldal,468.2,0.95
Halldal,474.14,0.92
Halldal,481.55,0.88
Halldal,494.89,0.84
Halldal,494.89,0.81
Halldal,499.34,0.75
Halldal,502.31,0.72
Halldal,505.27,0.69
Halldal,506.75,0.65
Halldal,513.67,0.62
Halldal,521.09,0.59
Halldal,527.51,0.58
Halldal,538.88,0.59
Halldal,542.34,0.61
Halldal,549.26,0.63
Halldal,558.65,0.63
Halldal,565.57,0.6
Halldal,570.02,0.57
Halldal,572.98,0.55
Halldal,575.95,0.52
Halldal,583.36,0.5
Halldal,588.3,0.47
Halldal,596.71,0.46
Halldal,608.57,0.46
Halldal,614.99,0.47
Halldal,619.44,0.48
Halldal,624.88,0.5
Halldal,629.82,0.52
Halldal,635.75,0.54
Halldal,640.2,0.56
Halldal,644.15,0.58
Halldal,647.61,0.6
Halldal,651.57,0.62
Halldal,654.53,0.64
Halldal,657.99,0.67
Halldal,660.46,0.69
Halldal,660.46,0.72
Halldal,662.44,0.74
Halldal,663.43,0.76
Halldal,664.91,0.78
Halldal,666.39,0.8
Halldal,668.37,0.82
Halldal,670.84,0.83
Halldal,675.29,0.83
Halldal,678.25,0.81
Halldal,677.27,0.79
Halldal,677.27,0.76
Halldal,679.74,0.7
Halldal,682.7,0.64
Halldal,682.7,0.59
Halldal,684.18,0.54
Halldal,684.18,0.49
Halldal,685.67,0.45
Halldal,687.64,0.4
Halldal,687.64,0.35
Halldal,688.63,0.32
Halldal,690.12,0.27
Halldal,691.6,0.24
Halldal,692.09,0.21
Halldal,693.58,0.17
Halldal,696.05,0.13
Halldal,699.51,0.09
Kuhl,410.01,0.11
Kuhl,411.48,0.2
Kuhl,412.66,0.28
Kuhl,415.01,0.4
Kuhl,417.08,0.5
Kuhl,418.84,0.63
Kuhl,422.08,0.74
Kuhl,423.85,0.82
Kuhl,425.61,0.87
Kuhl,427.38,0.91
Kuhl,429.15,0.94
Kuhl,430.03,0.96
Kuhl,432.97,0.96
Kuhl,435.33,0.95
Kuhl,437.1,0.93
Kuhl,439.16,0.91
Kuhl,442.39,0.89
Kuhl,446.81,0.9
Kuhl,452.11,0.92
Kuhl,455.94,0.94
Kuhl,459.47,0.96
Kuhl,462.71,0.99
Kuhl,464.77,1
Kuhl,468.01,0.99
Kuhl,474.48,0.96
Kuhl,478.02,0.92
Kuhl,480.37,0.87
Kuhl,483.02,0.82
Kuhl,485.67,0.76
Kuhl,489.21,0.72
Kuhl,492.15,0.68
Kuhl,498.04,0.65
Kuhl,505.1,0.65
Kuhl,511.58,0.62
Kuhl,516.88,0.58
Kuhl,520.41,0.55
Kuhl,523.65,0.52
Kuhl,524.83,0.49
Kuhl,529.83,0.47
Kuhl,536.9,0.48
Kuhl,538.08,0.48
Kuhl,540.43,0.47
Kuhl,543.08,0.43
Kuhl,544.26,0.39
Kuhl,548.38,0.35
Kuhl,549.56,0.3
Kuhl,550.15,0.28
Kuhl,554.56,0.25
Kuhl,559.27,0.23
Kuhl,563.69,0.23
Kuhl,569.87,0.21
Kuhl,576.94,0.2
Kuhl,581.06,0.21
Kuhl,585.77,0.21
Kuhl,589.3,0.2
Kuhl,598.14,0.18
Kuhl,605.2,0.18
Kuhl,609.62,0.18
Kuhl,614.92,0.2
Kuhl,618.45,0.21
Kuhl,622.57,0.22
Kuhl,627.28,0.23
Kuhl,632.29,0.25
Kuhl,635.23,0.28
Kuhl,637.59,0.28
Kuhl,639.65,0.3
Kuhl,643.18,0.31
Kuhl,647.3,0.33
Kuhl,649.07,0.35
Kuhl,652.6,0.38
Kuhl,654.37,0.42
Kuhl,655.54,0.45
