Light.source,Wavelength,Relative.Intensity
Hydra,397.91,0.212978369
Hydra,401.57,0.3078203
Hydra,402.61,0.340266223
Hydra,404.7,0.365224626
Hydra,408.35,0.372712146
Hydra,411.48,0.350249584
Hydra,413.57,0.304492512
Hydra,415.65,0.266222962
Hydra,419.3,0.237936772
Hydra,422.96,0.226289517
Hydra,424,0.258735441
Hydra,429.74,0.410981697
Hydra,431.3,0.5
Hydra,432.35,0.600665557
Hydra,433.91,0.669717138
Hydra,436,0.737936772
Hydra,436,0.794509151
Hydra,437.57,0.872712146
Hydra,437.57,0.93344426
Hydra,439.13,0.960066556
Hydra,440.17,0.989184692
Hydra,441.74,1
Hydra,448.52,0.996672213
Hydra,450.09,0.962562396
Hydra,448.52,0.922628952
Hydra,448.52,0.861064892
Hydra,453.22,0.770382696
Hydra,455.3,0.665557404
Hydra,456.35,0.584026622
Hydra,456.35,0.532445923
Hydra,457.91,0.431780366
Hydra,461.04,0.347753744
Hydra,463.65,0.270382696
Hydra,465.74,0.195507488
Hydra,468.87,0.138935108
Hydra,474.09,0.09484193
Hydra,478.78,0.060732113
Hydra,484,0.041597338
Hydra,492.87,0.041597338
Hydra,500.17,0.070715474
Hydra,506.96,0.085690516
Hydra,511.13,0.115640599
Hydra,515.3,0.127287854
Hydra,522.09,0.128951747
Hydra,537.22,0.115640599
Hydra,616,0.072379368
Hydra,630.09,0.089018303
Hydra,637.91,0.118136439
Hydra,644.17,0.186356073
Hydra,647.83,0.237936772
Hydra,650.96,0.291181364
Hydra,654.61,0.34608985
Hydra,655.13,0.387687188
Hydra,656.7,0.420133111
Hydra,658.26,0.439267887
Hydra,659.83,0.448419301
Hydra,662.43,0.421797005
Hydra,664.52,0.366888519
Hydra,664.52,0.306156406
Hydra,667.13,0.257071547
Hydra,668.7,0.186356073
Hydra,670.26,0.128951747
Hydra,673.39,0.087354409
Hydra,678.61,0.053244592
Hydra,684.35,0.032445923
Hydra,692.17,0.022462562
Hydra,700,0.017470882
