nm,Kd_M,Kd_C,Es_C0,Es_C1,Es_C2,Es_C3
400,0.18481477,0.15683852,1.244148,-0.000369293,3.63E-06,-8.32E-07
401,0.18537222,0.1486587,1.2910668,-0.000379782,3.76E-06,-8.60E-07
402,0.18592967,0.14047887,1.3379855,-0.000390271,3.90E-06,-8.89E-07
403,0.18648711,0.13229905,1.379671,-0.000398356,4.02E-06,-9.13E-07
404,0.18704456,0.12411922,1.3940318,-0.000393884,4.08E-06,-9.20E-07
405,0.18760201,0.1159394,1.4083925,-0.000389412,4.13E-06,-9.27E-07
406,0.18598628,0.11652543,1.4227533,-0.00038494,4.19E-06,-9.33E-07
407,0.18437056,0.11711146,1.4338752,-0.000377073,4.20E-06,-9.38E-07
408,0.18275483,0.11769748,1.444332,-0.000368509,4.20E-06,-9.42E-07
409,0.1811391,0.11828351,1.4547889,-0.000359946,4.20E-06,-9.46E-07
410,0.17952338,0.11886954,1.4658791,-0.000353666,4.21E-06,-9.50E-07
411,0.17901774,0.11590891,1.4776074,-0.000349689,4.23E-06,-9.54E-07
412,0.17851209,0.11294829,1.4893358,-0.000345712,4.25E-06,-9.58E-07
413,0.17800645,0.10998766,1.4999023,-0.000339988,4.23E-06,-9.62E-07
414,0.17750081,0.10702703,1.5046341,-0.000325494,4.00E-06,-9.60E-07
415,0.17699516,0.10406641,1.5093658,-0.000311,3.77E-06,-9.58E-07
416,0.17639232,0.1010948,1.5140975,-0.000296506,3.54E-06,-9.56E-07
417,0.17578948,0.098123191,1.5136281,-0.000281698,3.32E-06,-9.51E-07
418,0.17518664,0.095151584,1.5121203,-0.000266827,3.12E-06,-9.45E-07
419,0.17458379,0.092179977,1.5106125,-0.000251957,2.91E-06,-9.40E-07
420,0.17398095,0.089208369,1.5068126,-0.000238998,2.72E-06,-9.33E-07
421,0.17318838,0.086689858,1.5007267,-0.000227946,2.54E-06,-9.25E-07
422,0.17239582,0.084171347,1.4946408,-0.000216893,2.37E-06,-9.16E-07
423,0.17160325,0.081652836,1.4867817,-0.000205609,2.21E-06,-9.07E-07
424,0.17081069,0.079134325,1.4701006,-0.000193167,2.09E-06,-8.93E-07
425,0.17001812,0.076615814,1.4534195,-0.000180726,1.97E-06,-8.79E-07
426,0.16882763,0.075640787,1.4367384,-0.000168285,1.84E-06,-8.65E-07
427,0.16763714,0.07466576,1.4280485,-0.00015329,1.63E-06,-8.56E-07
428,0.16644665,0.073690732,1.4209535,-0.000137785,1.40E-06,-8.47E-07
429,0.16525615,0.072715705,1.4138586,-0.00012228,1.17E-06,-8.38E-07
430,0.16406566,0.071740678,1.4178998,-0.0001091,9.18E-07,-8.35E-07
431,0.16307623,0.069911594,1.433099,-9.83E-05,6.52E-07,-8.39E-07
432,0.1620868,0.06808251,1.4482982,-8.74E-05,3.86E-07,-8.42E-07
433,0.16109736,0.066253425,1.465238,-7.65E-05,1.07E-07,-8.47E-07
434,0.16010793,0.064424341,1.4909855,-6.55E-05,-2.40E-07,-8.56E-07
435,0.1591185,0.062595257,1.5167331,-5.44E-05,-5.87E-07,-8.65E-07
436,0.15842303,0.060303403,1.5424806,-4.33E-05,-9.34E-07,-8.74E-07
437,0.15772756,0.058011548,1.5652132,-3.39E-05,-1.25E-06,-8.81E-07
438,0.15703209,0.055719694,1.5873288,-2.48E-05,-1.57E-06,-8.89E-07
439,0.15633662,0.05342784,1.6094445,-1.56E-05,-1.89E-06,-8.96E-07
440,0.15564115,0.051135985,1.631006,-5.75E-06,-2.21E-06,-9.03E-07
441,0.15473819,0.049940104,1.6520021,4.92E-06,-2.54E-06,-9.10E-07
442,0.15383524,0.048744223,1.6729982,1.56E-05,-2.88E-06,-9.16E-07
443,0.15293228,0.047548342,1.6942114,2.65E-05,-3.23E-06,-9.22E-07
444,0.15202932,0.046352461,1.7165699,3.89E-05,-3.68E-06,-9.27E-07
445,0.15112637,0.04515658,1.7389285,5.12E-05,-4.14E-06,-9.32E-07
446,0.15053767,0.043251995,1.761287,6.35E-05,-4.59E-06,-9.36E-07
447,0.14994898,0.041347411,1.7778934,8.01E-05,-5.17E-06,-9.36E-07
448,0.14936028,0.039442827,1.7932666,9.76E-05,-5.77E-06,-9.34E-07
449,0.14877159,0.037538242,1.8086398,0.000115172,-6.38E-06,-9.32E-07
450,0.14818289,0.035633658,1.8208535,0.000129861,-6.91E-06,-9.29E-07
451,0.14756786,0.034832319,1.8297423,0.000141569,-7.36E-06,-9.24E-07
452,0.14695283,0.03403098,1.838631,0.000153277,-7.81E-06,-9.20E-07
453,0.1463378,0.033229641,1.8467057,0.00016512,-8.26E-06,-9.16E-07
454,0.14572277,0.032428303,1.8501922,0.000177726,-8.67E-06,-9.11E-07
455,0.14510774,0.031626964,1.8536788,0.000190332,-9.07E-06,-9.05E-07
456,0.14446714,0.031447183,1.8571653,0.000202937,-9.48E-06,-9.00E-07
457,0.14382654,0.031267402,1.862151,0.000211003,-9.79E-06,-8.97E-07
458,0.14318594,0.031087621,1.8674794,0.00021803,-1.01E-05,-8.95E-07
459,0.14254535,0.03090784,1.8728079,0.000225057,-1.04E-05,-8.92E-07
460,0.14190475,0.030728059,1.8754559,0.000232771,-1.07E-05,-8.88E-07
461,0.14148054,0.029943387,1.8751622,0.00024124,-1.09E-05,-8.82E-07
462,0.14105634,0.029158714,1.8748686,0.000249708,-1.12E-05,-8.77E-07
463,0.14063213,0.028374042,1.8740212,0.000258333,-1.15E-05,-8.71E-07
464,0.14020793,0.02758937,1.8697547,0.000267924,-1.18E-05,-8.65E-07
465,0.13978372,0.026804697,1.8654881,0.000277515,-1.20E-05,-8.58E-07
466,0.13921556,0.026801192,1.8612216,0.000287106,-1.23E-05,-8.51E-07
467,0.1386474,0.026797686,1.8596178,0.000299757,-1.25E-05,-8.48E-07
468,0.13807923,0.026794181,1.8586725,0.000313165,-1.28E-05,-8.46E-07
469,0.13751107,0.026790675,1.8577271,0.000326572,-1.31E-05,-8.43E-07
470,0.13694291,0.02678717,1.8594193,0.00033963,-1.33E-05,-8.43E-07
471,0.13650294,0.026287264,1.86416,0.000352283,-1.36E-05,-8.46E-07
472,0.13606297,0.025787359,1.8689008,0.000364936,-1.38E-05,-8.49E-07
473,0.13562301,0.025287453,1.873927,0.000377949,-1.41E-05,-8.51E-07
474,0.13518304,0.024787547,1.880939,0.000393474,-1.44E-05,-8.54E-07
475,0.13474308,0.024287641,1.8879509,0.000408999,-1.48E-05,-8.56E-07
476,0.13419906,0.024097942,1.8949629,0.000424523,-1.51E-05,-8.58E-07
477,0.13365504,0.023908243,1.8973766,0.000440169,-1.55E-05,-8.54E-07
478,0.13311103,0.023718543,1.8985486,0.000455847,-1.58E-05,-8.49E-07
479,0.13256701,0.023528844,1.8997207,0.000471526,-1.62E-05,-8.43E-07
480,0.13202299,0.023339145,1.8944576,0.000487233,-1.65E-05,-8.34E-07
481,0.13164402,0.022900018,1.8812929,0.000502976,-1.67E-05,-8.19E-07
482,0.13126505,0.022460892,1.8681281,0.000518719,-1.70E-05,-8.05E-07
483,0.13088608,0.022021765,1.8548826,0.000534367,-1.72E-05,-7.91E-07
484,0.13050711,0.021582639,1.840984,0.000549243,-1.74E-05,-7.76E-07
485,0.13012814,0.021143512,1.8270854,0.00056412,-1.77E-05,-7.62E-07
486,0.12960104,0.021130908,1.8131868,0.000578997,-1.80E-05,-7.48E-07
487,0.12907394,0.021118304,1.8093115,0.000598286,-1.84E-05,-7.38E-07
488,0.12854684,0.021105699,1.8084109,0.000618885,-1.89E-05,-7.30E-07
489,0.12801974,0.021093095,1.8075103,0.000639483,-1.94E-05,-7.22E-07
490,0.12749264,0.021080491,1.8105405,0.000656612,-1.99E-05,-7.16E-07
491,0.1270096,0.021175366,1.8187383,0.00066918,-2.04E-05,-7.13E-07
492,0.12652655,0.021270242,1.8269361,0.000681748,-2.08E-05,-7.10E-07
493,0.12604351,0.021365118,1.8343582,0.000693729,-2.12E-05,-7.08E-07
494,0.12556047,0.021459993,1.834194,0.000699968,-2.14E-05,-7.05E-07
495,0.12507742,0.021554869,1.8340298,0.000706206,-2.16E-05,-7.03E-07
496,0.12454524,0.022745382,1.8338656,0.000712445,-2.18E-05,-7.01E-07
497,0.12401306,0.023935896,1.8290553,0.000707734,-2.15E-05,-7.03E-07
498,0.12348087,0.02512641,1.8227237,0.000699437,-2.12E-05,-7.08E-07
499,0.12294869,0.026316924,1.8163921,0.000691141,-2.08E-05,-7.12E-07
500,0.12241651,0.027507438,1.8110342,0.000679395,-2.04E-05,-7.19E-07
501,0.12204949,0.026931254,1.8070558,0.000662764,-1.98E-05,-7.28E-07
502,0.12168247,0.026355069,1.8030774,0.000646133,-1.92E-05,-7.37E-07
503,0.12131546,0.025778885,1.7994924,0.000630809,-1.87E-05,-7.46E-07
504,0.12094844,0.025202701,1.8008241,0.000631825,-1.88E-05,-7.46E-07
505,0.12058143,0.024626517,1.8021558,0.000632841,-1.89E-05,-7.45E-07
506,0.1201588,0.025367768,1.8034874,0.000633857,-1.90E-05,-7.45E-07
507,0.11973618,0.02610902,1.8025805,0.000651741,-1.98E-05,-7.33E-07
508,0.11931356,0.026850271,1.8008634,0.00067573,-2.07E-05,-7.17E-07
509,0.11889094,0.027591522,1.7991463,0.000699718,-2.17E-05,-7.01E-07
