nm,Absorption
400,0.686313686
401.2,0.68
401,0.705094905
402,0.723876124
403,0.742657343
404,0.761438561
405,0.78021978
406,0.78961039
407,0.799000999
408,0.808391608
409,0.817782218
410,0.827172827
411,0.838161838
412,0.849150849
413,0.86013986
414,0.871128871
415,0.882117882
416,0.888111888
417,0.894105894
418,0.9000999
419,0.906093906
420,0.912087912
421,0.917282717
422,0.922477522
423,0.927672328
424,0.932867133
425,0.938061938
426,0.944855145
427,0.951648352
428,0.958441558
429,0.965234765
430,0.972027972
431,0.977622378
432,0.983216783
433,0.988811189
434,0.994405594
435,1
436,0.9998002
437,0.9996004
438,0.999400599
439,0.999200799
440,0.999000999
441,0.993206793
442,0.987412587
443,0.981618382
444,0.975824176
445,0.97002997
446,0.964635365
447,0.959240759
448,0.953846154
449,0.948451548
450,0.943056943
451,0.93986014
452,0.936663337
453,0.933466533
454,0.93026973
455,0.927072927
456,0.924875125
457,0.922677323
458,0.92047952
459,0.918281718
460,0.916083916
461,0.913086913
462,0.91008991
463,0.907092907
464,0.904095904
465,0.901098901
466,0.894705295
467,0.888311688
468,0.881918082
469,0.875524476
470,0.869130869
471,0.862937063
472,0.856743257
473,0.850549451
474,0.844355644
475,0.838161838
476,0.82997003
477,0.821778222
478,0.813586414
479,0.805394605
480,0.797202797
481,0.792207792
482,0.787212787
483,0.782217782
484,0.777222777
485,0.772227772
486,0.767632368
487,0.763036963
488,0.758441558
489,0.753846154
490,0.749250749
491,0.742657343
492,0.736063936
493,0.729470529
494,0.722877123
495,0.716283716
496,0.706493506
497,0.696703297
498,0.686913087
499,0.677122877
500,0.667332667
501,0.662737263
502,0.658141858
503,0.653546454
504,0.648951049
505,0.644355644
506,0.638961039
507,0.633566434
508,0.628171828
509,0.622777223
510,0.617382617
511,0.61018981
512,0.602997003
513,0.595804196
514,0.588611389
515,0.581418581
516,0.570629371
517,0.55984016
518,0.549050949
519,0.538261738
520,0.527472527
521,0.522677323
522,0.517882118
523,0.513086913
524,0.508291708
525,0.503496503
526,0.497502498
527,0.491508492
528,0.485514486
529,0.47952048
530,0.473526474
531,0.467532468
532,0.461538462
533,0.455544456
534,0.44955045
535,0.443556444
536,0.437962038
537,0.432367632
538,0.426773227
539,0.421178821
540,0.415584416
541,0.409190809
542,0.402797203
543,0.396403596
544,0.39000999
545,0.383616384
546,0.378221778
547,0.372827173
548,0.367432567
549,0.362037962
550,0.356643357
551,0.349450549
552,0.342257742
553,0.335064935
554,0.327872128
555,0.320679321
556,0.315284715
557,0.30989011
558,0.304495504
559,0.299100899
560,0.293706294
561,0.28951049
562,0.285314685
563,0.281118881
564,0.276923077
565,0.272727273
566,0.273326673
567,0.273926074
568,0.274525475
569,0.275124875
570,0.275724276
571,0.274125874
572,0.272527473
573,0.270929071
574,0.269330669
575,0.267732268
576,0.272327672
577,0.276923077
578,0.281518482
579,0.286113886
580,0.290709291
581,0.287312687
582,0.283916084
583,0.280519481
584,0.277122877
585,0.273726274
586,0.275324675
587,0.276923077
588,0.278521479
589,0.28011988
590,0.281718282
591,0.275124875
592,0.268531469
593,0.261938062
594,0.255344655
595,0.248751249
596,0.246153846
597,0.243556444
598,0.240959041
599,0.238361638
600,0.235764236
601,0.244355644
602,0.252947053
603,0.261538462
604,0.27012987
605,0.278721279
606,0.273326673
607,0.267932068
608,0.262537463
609,0.257142857
610,0.251748252
611,0.254945055
612,0.258141858
613,0.261338661
614,0.264535465
615,0.267732268
616,0.269330669
617,0.270929071
618,0.272527473
619,0.274125874
620,0.275724276
621,0.28031968
622,0.284915085
623,0.28951049
624,0.294105894
625,0.298701299
626,0.302297702
627,0.305894106
628,0.309490509
629,0.313086913
630,0.316683317
631,0.31988012
632,0.323076923
633,0.326273726
634,0.329470529
635,0.332667333
636,0.332867133
637,0.333066933
638,0.333266733
639,0.333466533
640,0.333666334
641,0.332067932
642,0.33046953
643,0.328871129
644,0.327272727
645,0.325674326
646,0.331668332
647,0.337662338
648,0.343656344
649,0.34965035
650,0.355644356
651,0.362237762
652,0.368831169
653,0.375424575
654,0.382017982
655,0.388611389
656,0.399000999
657,0.409390609
658,0.41978022
659,0.43016983
660,0.440559441
661,0.459140859
662,0.477722278
663,0.496303696
664,0.514885115
665,0.533466533
666,0.545654346
667,0.557842158
668,0.57002997
669,0.582217782
670,0.594405594
671,0.584215784
672,0.574025974
673,0.563836164
674,0.553646354
675,0.543456543
676,0.535064935
677,0.526673327
678,0.518281718
679,0.50989011
680,0.501498501
681,0.485114885
682,0.468731269
683,0.452347652
684,0.435964036
685,0.41958042
686,0.401398601
687,0.383216783
688,0.365034965
689,0.346853147
690,0.328671329
691,0.315284715
692,0.301898102
693,0.288511489
694,0.275124875
695,0.261738262
696,0.252347652
697,0.242957043
698,0.233566434
699,0.224175824
700,0.214785215
